episode,timestep,episode_reward
479,19291,130.0
480,19361,70.0
481,19475,114.0
482,19531,56.0
483,19614,83.0
484,19689,75.0
485,19839,150.0
486,19881,42.0
487,19899,18.0
488,19986,87.0
489,20068,82.0
